"","name","type","filepath"
"3","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"4","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"5","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"6","Quarry Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"9","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"10","Bowen Island Municipal Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"11","Bowen Island Municipal Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"13","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"14","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"15","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"16","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"17","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"20","Headwaters Municipal Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"21","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"22","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"23","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"24","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"25","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"26","Community Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
"27","Seymour Bay Park","Bowen Island Municipality Park","/home/jay/Programming_Projects/Palen-Lab/bowen.biodiversity.webapp/data-etl/data-1-raw/datasets/protectedareas/Bowen-Muni-Parks-JD.gpkg"
