latitude,longitude,private_latitude,private_longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
49.3796282728,-123.3321535681,,,Banded Alder Borer,Rosalia funebris,Banded Alder Borer,Insecta,51866
49.3817261526,-123.3342790604,,,Mute Swan,Cygnus olor,Mute Swan,Aves,6921
49.403105,-123.3375033333,,,grand pic,Dryocopus pileatus,Pileated Woodpecker,Aves,17855
49.401624143,-123.3476503992,,,Labrador Tea,Rhododendron groenlandicum,Bog Labrador Tea,Plantae,180413
49.4017116667,-123.3343416667,,,Hard Feren,Struthiopteris spicant,deer fern,Plantae,774894
49.3926,-123.3346116667,,,western sword fern,Polystichum munitum,western sword fern,Plantae,47751
49.3940510508,-123.3266534564,,,Salmonberry,Rubus spectabilis,Salmonberry,Plantae,47543
49.4048916667,-123.3349216667,,,Pacific Coralroot,Corallorhiza mertensiana,Pacific coralroot,Plantae,49444
49.4021944444,-123.3341666667,,,Northern Red-legged Frog,Rana aurora,Northern Red-legged Frog,Amphibia,25545
49.3850827199,-123.372323513,,,Pacific Sideband,Monadenia fidelis,Pacific Sideband,Mollusca,62803
49.381723219,-123.4002506733,,,Pacific Banana Slug,Ariolimax columbianus,Pacific Banana Slug,Mollusca,47776
49.3864935021,-123.3446645737,,,Cascade Oregon-grape,Berberis nervosa,Cascade Oregon-grape,Plantae,75756
49.3794391861,-123.4020209302,,,Pinesap,Monotropa hypopitys,pinesap,Plantae,59986
49.380377,-123.323101,,,Turkey Vulture,Cathartes aura,Turkey Vulture,Aves,4756
49.380412,-123.3235,,,American Mink,Neogale vison,American Mink,Mammalia,1264432
49.405291,-123.310009,,,Northwestern crow,Corvus brachyrhynchos caurinus,Northwestern Crow,Aves,1290036
49.40573,-123.309822,,,Grand Héron,Ardea herodias,Great Blue Heron,Aves,4956
49.3844764866,-123.3465727979,,,Isabella Tiger Moth,Pyrrharctia isabella,Isabella Tiger Moth,Insecta,59675
49.3865011354,-123.335343646,,,Vine Maple,Acer circinatum,Vine Maple,Plantae,48258
49.3416279043,-123.3571875562,,,,Impatiens capensis,spotted jewelweed,Plantae,47888
49.3916279405,-123.3558233958,,,Western Yellow Pond-lily,Nuphar polysepala,western yellow pond-lily,Plantae,78234
49.3842524997,-123.3862902025,,,Purple foxglove,Digitalis purpurea,purple foxglove,Plantae,53983
49.4028193107,-123.3797693253,,,Nanaimo Horned Dorid,Acanthodoris nanaimoensis,Nanaimo Dorid,Mollusca,47476
49.4025958974,-123.380112648,,,Red Rock Crab,Cancer productus,Red Rock Crab,Animalia,47826
49.4025958974,-123.3792543411,,,Longhorn Decorator Crab,Chorilia longipes,Longhorn Decorator Crab,Animalia,459559
49.4022049218,-123.3793401718,,,Corella willmeriana,Corella willmeriana,Icy Tunicate,Animalia,447661
49.4017580886,-123.3800590038,,,Cyanea,Cyanea,Lion's Mane Jellies,Animalia,154711
49.401632416,-123.3801448345,,,White-lined Dirona,Dirona albolineata,White-lined Dirona,Mollusca,47477
49.4020094327,-123.3794045448,,,Dirona pellucida,Dirona pellucida,golden dirona,Mollusca,50447
49.4016882705,-123.3800965548,,,Predaceous Aeolis,Coryphella trophina,Predaceous Aeolis,Mollusca,1376715
49.4016219433,-123.38016361,,,Florometra serratissima,Florometra serratissima,Common Feather Star,Animalia,195902
