"code","description"
"YS","Young Forest (small)"
"RI","Riparian"
"xYS","Lost - Young Forest (small)"
"MF","Mature Forest"
"YF","Young Forest"
"xRI","Lost - Riparian"
"xMF","Lost - Mature Forest"
"xYF","Lost - Young Forest"
"xOD","Lost - Old Field"
"xWN","Lost - Wetland"
"FW","Freshwater"
"OD","Old Field"
"WN","Wetland"
"ES","Estuarine"
"IT","Intertidal"
"OF","Old Forest"
"HB","Herbaceous"
"WD","Woodland"
"SV","Sparsely Vegetated"
"xHB","Lost - Herbaceous"
"XX","Non SE or ME"
"xES","Lost - Estuarine"
"AP","Alpine"
"xFW","Lost - Freshwater"
"xOF","Lost - Old Forest"
"xWD","Lost - Woodland"
"xIT","Lost - Intertidal"
"xSV","Lost - Sparsely Vegetated"
