"number" "dsum" "count" "missing" "quant_error" "fname"
0 4872.83 5308 4260 0.00459858 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Amphibian_mask/Ambystoma.gracile_BowenIsland_100m.tif"
1 4560.73 5308 4260 0.00435025 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Amphibian_mask/Ambystoma.macrodactylum_BowenIsland_100m.tif"
2 4620.93 5308 4260 0.00235713 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Amphibian_mask/Pseudacris.regilla_BowenIsland_100m.tif"
3 3987.1 5308 4260 9.35586e-05 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Amphibian_mask/Rana.aurora_BowenIsland_100m.tif"
4 4998.51 5308 4260 0.00160547 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Amphibian_mask/Taricha.granulosa_BowenIsland_100m.tif"
5 4483.29 5308 4260 0.000241092 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Accipiter.cooperii_BowenIsland_100m.tif"
6 4832.45 5308 4260 0.000521353 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Accipiter.striatus_BowenIsland_100m.tif"
7 4108.75 5308 4260 0.00142302 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Actitis.macularius_BowenIsland_100m.tif"
8 3027.8 5308 4260 0.00123447 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Aechmophorus.occidentalis_BowenIsland_100m.tif"
9 3658.38 5308 4260 0.000603084 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Agelaius.phoeniceus_BowenIsland_100m.tif"
10 3662.13 5308 4260 0.00279542 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Aix.sponsa_BowenIsland_100m.tif"
11 3465.55 5308 4260 0.000958719 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Anas.acuta_BowenIsland_100m.tif"
12 3847.89 5308 4260 0.00266265 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Anas.americana_BowenIsland_100m.tif"
13 3305.81 5308 4260 0.00227677 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Anas.clypeata_BowenIsland_100m.tif"
14 3498.8 5308 4260 0.000280146 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Anas.crecca_BowenIsland_100m.tif"
15 2818.28 5308 4260 0.00114622 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Anas.cyanoptera_BowenIsland_100m.tif"
16 3000.88 5308 4260 0.00161635 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Anas.discors_BowenIsland_100m.tif"
