"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 5345 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00019 5344 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00037 5343 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00056 5342 0.0 1.0000 1.0000 0.9995 1.0000 1.0000 1.0000 0.9995
0.00075 5341 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.00094 5340 0.0 1.0000 1.0000 0.9991 1.0000 1.0000 1.0000 0.9991
0.00112 5339 0.0 1.0000 1.0000 0.9989 1.0000 1.0000 1.0000 0.9989
0.00131 5338 0.0 1.0000 1.0000 0.9987 1.0000 1.0000 1.0000 0.9987
0.00150 5337 0.0 1.0000 1.0000 0.9985 1.0000 1.0000 1.0000 0.9985
0.00168 5336 0.0 1.0000 1.0000 0.9983 1.0000 1.0000 1.0000 0.9983
0.00187 5335 0.0 1.0000 1.0000 0.9980 1.0000 1.0000 1.0000 0.9980
0.00206 5334 0.0 1.0000 1.0000 0.9978 1.0000 1.0000 1.0000 0.9978
0.00225 5333 0.0 1.0000 1.0000 0.9976 1.0000 1.0000 1.0000 0.9976
0.00243 5332 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00262 5331 0.0 1.0000 1.0000 0.9972 1.0000 1.0000 1.0000 0.9972
0.00281 5330 0.0 1.0000 1.0000 0.9969 1.0000 1.0000 1.0000 0.9969
0.00299 5329 0.0 1.0000 1.0000 0.9967 1.0000 1.0000 1.0000 0.9967
0.00318 5328 0.0 1.0000 1.0000 0.9964 1.0000 1.0000 1.0000 0.9964
0.00337 5327 0.0 1.0000 1.0000 0.9962 1.0000 1.0000 1.0000 0.9962
0.00355 5326 0.0 1.0000 1.0000 0.9960 1.0000 1.0000 1.0000 0.9960
0.00374 5325 0.0 1.0000 1.0000 0.9957 1.0000 1.0000 1.0000 0.9957
0.00393 5324 0.0 1.0000 1.0000 0.9955 1.0000 1.0000 1.0000 0.9955
0.00412 5323 0.0 1.0000 1.0000 0.9952 1.0000 1.0000 1.0000 0.9952
0.00430 5322 0.0 1.0000 1.0000 0.9950 1.0000 1.0000 1.0000 0.9950
0.00449 5321 0.0 1.0000 1.0000 0.9947 1.0000 1.0000 1.0000 0.9947
0.00468 5320 0.0 1.0000 1.0000 0.9945 1.0000 1.0000 1.0000 0.9945
0.00486 5319 0.0 1.0000 1.0000 0.9943 1.0000 1.0000 1.0000 0.9943
0.00505 5318 0.0 1.0000 1.0000 0.9940 1.0000 1.0000 1.0000 0.9940
0.00524 5317 0.0 1.0000 1.0000 0.9938 1.0000 1.0000 1.0000 0.9938
0.00543 5316 0.0 1.0000 1.0000 0.9935 1.0000 1.0000 1.0000 0.9935
0.00561 5315 0.0 1.0000 1.0000 0.9933 1.0000 1.0000 1.0000 0.9933
0.00580 5314 0.0 1.0000 1.0000 0.9930 1.0000 1.0000 1.0000 0.9930
0.00599 5313 0.0 1.0000 1.0000 0.9928 1.0000 1.0000 1.0000 0.9928
0.00617 5312 0.0 1.0000 1.0000 0.9925 1.0000 1.0000 1.0000 0.9925
0.00636 5311 0.0 1.0000 1.0000 0.9923 1.0000 1.0000 1.0000 0.9923
0.00655 5310 0.0 1.0000 1.0000 0.9921 1.0000 1.0000 1.0000 0.9921
0.00674 5309 0.0 1.0000 1.0000 0.9918 1.0000 1.0000 1.0000 0.9918
0.00692 5308 0.0 1.0000 1.0000 0.9916 1.0000 1.0000 1.0000 0.9916
0.00711 5307 0.0 0.9999 1.0000 0.9913 0.9999 0.9999 1.0000 0.9913
0.00730 5306 0.0 0.9998 1.0000 0.9911 0.9998 0.9998 1.0000 0.9911
0.00748 5305 0.0 0.9996 1.0000 0.9909 0.9996 0.9996 1.0000 0.9909
0.00767 5304 0.0 0.9995 1.0000 0.9906 0.9995 0.9995 1.0000 0.9906
0.00786 5303 0.0 0.9994 1.0000 0.9904 0.9994 0.9994 1.0000 0.9904
0.00804 5302 0.0 0.9993 1.0000 0.9902 0.9993 0.9993 1.0000 0.9902
0.00823 5301 0.0 0.9992 1.0000 0.9900 0.9992 0.9992 1.0000 0.9900
0.00842 5300 0.0 0.9991 1.0000 0.9897 0.9991 0.9991 1.0000 0.9897
0.00861 5299 0.0 0.9990 1.0000 0.9895 0.9990 0.9990 1.0000 0.9895
0.00879 5298 0.0 0.9989 1.0000 0.9893 0.9989 0.9989 1.0000 0.9893
0.00898 5297 0.0 0.9988 1.0000 0.9891 0.9988 0.9988 1.0000 0.9891
0.00917 5296 0.0 0.9987 1.0000 0.9888 0.9987 0.9987 1.0000 0.9888
0.00935 5295 0.0 0.9986 1.0000 0.9886 0.9986 0.9986 1.0000 0.9886
0.00954 5294 0.0 0.9985 1.0000 0.9884 0.9985 0.9985 1.0000 0.9884
0.00973 5293 0.0 0.9984 1.0000 0.9882 0.9984 0.9984 1.0000 0.9882
0.00992 5292 0.0 0.9983 1.0000 0.9879 0.9983 0.9983 1.0000 0.9879
0.01010 5291 0.0 0.9982 1.0000 0.9877 0.9982 0.9982 1.0000 0.9877
0.01029 5290 0.0 0.9981 1.0000 0.9875 0.9981 0.9981 1.0000 0.9875
0.01048 5289 0.0 0.9980 1.0000 0.9872 0.9980 0.9980 1.0000 0.9872
0.01066 5288 0.0 0.9979 1.0000 0.9870 0.9979 0.9979 1.0000 0.9870
0.01085 5287 0.0 0.9978 1.0000 0.9868 0.9978 0.9978 1.0000 0.9868
0.01104 5286 0.0 0.9977 1.0000 0.9866 0.9977 0.9977 1.0000 0.9866
0.01123 5285 0.0 0.9976 1.0000 0.9863 0.9976 0.9976 1.0000 0.9863
0.01141 5284 0.0 0.9975 1.0000 0.9861 0.9975 0.9975 1.0000 0.9861
0.01160 5283 0.0 0.9974 1.0000 0.9859 0.9974 0.9974 1.0000 0.9859
0.01179 5282 0.0 0.9972 1.0000 0.9857 0.9972 0.9972 1.0000 0.9857
0.01197 5281 0.0 0.9971 1.0000 0.9854 0.9971 0.9971 1.0000 0.9854
0.01216 5280 0.0 0.9970 1.0000 0.9852 0.9970 0.9970 1.0000 0.9852
0.01235 5279 0.0 0.9969 1.0000 0.9850 0.9969 0.9969 1.0000 0.9850
0.01254 5278 0.0 0.9968 1.0000 0.9847 0.9968 0.9968 1.0000 0.9847
0.01272 5277 0.0 0.9967 1.0000 0.9845 0.9967 0.9967 1.0000 0.9845
0.01291 5276 0.0 0.9966 1.0000 0.9843 0.9966 0.9966 1.0000 0.9843
0.01310 5275 0.0 0.9965 1.0000 0.9840 0.9965 0.9965 1.0000 0.9840
0.01328 5274 0.0 0.9964 1.0000 0.9838 0.9964 0.9964 1.0000 0.9838
0.01347 5273 0.0 0.9963 1.0000 0.9836 0.9963 0.9963 1.0000 0.9836
0.01366 5272 0.0 0.9962 1.0000 0.9833 0.9962 0.9962 1.0000 0.9833
0.01384 5271 0.0 0.9961 1.0000 0.9831 0.9961 0.9961 1.0000 0.9831
0.01403 5270 0.0 0.9960 1.0000 0.9829 0.9960 0.9960 1.0000 0.9829
0.01422 5269 0.0 0.9959 1.0000 0.9827 0.9959 0.9959 1.0000 0.9827
