"","path","filename","name","weight","category","source","notes"
"1","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif","bowen_human_footprint_inv.tif","Inverse Human Disturbance",1,"Human Disturbance","Miguel Arias Patino (marias@unbc.ca)","Inverse with low values describing high disturbance and vice versa, use for zonation"
"2","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_recl.tif","bowen_human_footprint_recl.tif","Classified Human Disturbance",0,"Human Disturbance","Miguel Arias Patino (marias@unbc.ca)","Reclassified to Low Medium High disturbance"
"3","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint.tif","bowen_human_footprint.tif","Human Disturbance",0,"Human Disturbance","Miguel Arias Patino (marias@unbc.ca)","Original human disturbance layer"
"4","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_raptor_nest.tif","bowen_raptor_nest.tif","Raptor Nests",1,"Bird Nesting Site","Bowen Heron Watch","Raptor Nests"
"5","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_heron_nest.tif","bowen_heron_nest.tif","Heron Nests",1,"Bird Nesting Site","Bowen Heron Watch","Heron Nests"
"6","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/el.tif","el.tif","el",1,"Terrestrial","MVSEI","eelgrass: intertidal & shallow subtidal eelgrass beds."
"7","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bs.tif","bs.tif","bs",1,"Terrestrial","MVSEI","beaches: well- to sparsely-vegetated or non-vegetated beaches and shorelines."
"8","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/mf.tif","mf.tif","mf",1,"Terrestrial","MVSEI","mudflats: non-vegetated mudflats or with varying amounts of algae."
"9","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/vs.tif","vs.tif","vs",1,"Terrestrial","MVSEI","vegetated shoreline: low-lying rocky shoreline, soil pockets in rock cracks and crevices; salt-tolerant vegetation, generally with < 20% vegetation cover."
"10","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/cs.tif","cs.tif","cs",1,"Terrestrial","MVSEI","coastal herbaceous: criteria as for ‘hb’ but influenced by proximity to ocean; windswept shoreline and slopes; > 20% vegetation of grasses, herbs, mosses and lichens."
"11","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/OF.tif","OF.tif","OF",1,"Terrestrial","MVSEI","Old Forest"
"12","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/YS.tif","YS.tif","YS",1,"Terrestrial","MVSEI","Young Forest (small)"
"13","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/MF.tif","MF.tif","MF",1,"Terrestrial","MVSEI","Mature Forest"
"14","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/YF.tif","YF.tif","YF",1,"Terrestrial","MVSEI","Young Forest"
"15","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Slendersedge_Whitebeak_rush.tif","Slendersedge_Whitebeak_rush.tif","Slender sedge - White beak-rush",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
