"number" "dsum" "count" "missing" "quant_error" "fname"
0 4214.54 5313 3212 0.000519297 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif"
1 7.0 7 8519 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/el.tif"
2 75.0 75 8451 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bs.tif"
3 15.0 15 8511 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/mf.tif"
4 4.0 4 8522 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/vs.tif"
5 250.0 250 8276 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/cs.tif"
6 113.0 113 8413 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/OF.tif"
7 991.0 991 7535 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/YS.tif"
8 3996.0 3996 4530 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/MF.tif"
9 1360.0 1360 7166 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/YF.tif"
10 5.0 5 8521 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Slendersedge_Whitebeak_rush.tif"
11 35.0 35 8491 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Cladina_Wallacesselaginella.tif"
12 3.0 3 8523 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Labradortea_Bog_laurel_Peat_moss.tif"
13 27.0 27 8499 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Pl_Sphagnum.tif"
14 6.0 6 8520 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Sweetgale_Sitkasedge.tif"
15 13.0 13 8513 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Hardhack(pinkspirea)_Sitkasedge.tif"
16 246.0 246 8280 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Fd_Swordfern.tif"
17 54.0 54 8472 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/CwSs_Skunkcabbage(Ws53_Cw_Swordfern_Skunkcabbage).tif"
18 181.0 181 8345 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/HwCw_Deerfern.tif"
19 359.0 359 8167 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/FdPl_Cladina.tif"
20 47.0 47 8479 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/HwBa_Blueberry.tif"
21 411.0 411 8115 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Cw_Swordfern.tif"
22 9.0 9 8517 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/CwSs_Skunkcabbage.tif"
23 91.0 91 8435 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/RockOutcrop.tif"
24 116.0 116 8410 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/FdHw_Salal.tif"
25 318.0 318 8208 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Cw_Foamflower.tif"
26 2864.0 2864 5662 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/HwFd_Kindbergia.tif"
27 2127.0 2127 6399 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Hw_Flatmoss.tif"
28 1569.0 1569 6957 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/riparian.tif"
29 3156.0 1988 6538 2.63745e-06 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/streams.tif"
30 62.0 62 8464 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/lakes.tif"
31 147.0 147 8379 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/ponds.tif"
32 471.0 471 8055 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/wetlands.tif"
33 4484.81 5314 3212 0.000368124 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Accipiter.cooperii_NAs_pu_mask.tif"
34 4837.14 5314 3212 0.000880187 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Accipiter.striatus_NAs_pu_mask.tif"
35 4110.65 5314 3212 0.00173804 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Actitis.macularius_NAs_pu_mask.tif"
36 3022.91 5314 3212 0.00107218 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Aechmophorus.occidentalis_NAs_pu_mask.tif"
37 3661.61 5314 3212 0.000478511 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Agelaius.phoeniceus_NAs_pu_mask.tif"
38 3660.12 5314 3212 0.00308151 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Aix.sponsa_NAs_pu_mask.tif"
39 4876.21 5314 3212 0.00439967 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Ambystoma.gracile_NAs_pu_mask.tif"
