"","path","filename","name","weight","category","source","notes","sdm_max_value","n_obs_inat","n_obs_ebird","taxon_group","prov_status","bc_status","fed_status","IUCN_status"
"1","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Accipiter.cooperii_NAs_pu_mask.tif","Accipiter.cooperii_NAs_pu_mask.tif","Accipiter cooperii",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.97346746921539,0,42,"Bird","S5","Yellow","NAR","LC"
"2","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Accipiter.striatus_NAs_pu_mask.tif","Accipiter.striatus_NAs_pu_mask.tif","Accipiter striatus",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.9637845158577,2,62,"Bird","S5B, S5N","Yellow","NAR","LC"
"3","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Actitis.macularius_NAs_pu_mask.tif","Actitis.macularius_NAs_pu_mask.tif","Actitis macularius",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.95192718505859,1,36,"Bird","S5B","Yellow","NA","LC"
"4","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aechmophorus.occidentalis_NAs_pu_mask.tif","Aechmophorus.occidentalis_NAs_pu_mask.tif","Aechmophorus occidentalis",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.94474560022354,1,124,"Bird","S1S2B, S2N","Red","SC","LC"
"5","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Agelaius.phoeniceus_NAs_pu_mask.tif","Agelaius.phoeniceus_NAs_pu_mask.tif","Agelaius phoeniceus",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.90354532003403,19,481,"Bird","S5B, S5N","Yellow","NA","LC"
"6","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aix.sponsa_NAs_pu_mask.tif","Aix.sponsa_NAs_pu_mask.tif","Aix sponsa",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.92017751932144,10,261,"Bird","S4B, S4N","Yellow","NA","LC"
"7","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Ambystoma.gracile_NAs_pu_mask.tif","Ambystoma.gracile_NAs_pu_mask.tif","Ambystoma gracile",1,"Amphibian","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.97331476211548,55,NA,"Amphibian","S4","Yellow","NAR","LC"
"8","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Ambystoma.macrodactylum_NAs_pu_mask.tif","Ambystoma.macrodactylum_NAs_pu_mask.tif","Ambystoma macrodactylum",1,"Amphibian","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.93448406457901,7,NA,"Amphibian","S5","Yellow","NAR","LC"
"9","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.acuta_NAs_pu_mask.tif","Anas.acuta_NAs_pu_mask.tif","Anas acuta",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.9300063252449,1,16,"Bird","S4B, S5N","Yellow","NA","LC"
"10","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.americana_NAs_pu_mask.tif","Anas.americana_NAs_pu_mask.tif","Anas americana",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)","updated name: Mareca americana",0.95019114017487,0,40,"Bird","S5B, S5N","Yellow","NA","LC"
"11","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.clypeata_NAs_pu_mask.tif","Anas.clypeata_NAs_pu_mask.tif","Anas clypeata",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)","updated name: Spatula clypeata",0.898413002491,0,10,"Bird","S5B, S5N","Yellow","NA","LC"
"12","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.crecca_NAs_pu_mask.tif","Anas.crecca_NAs_pu_mask.tif","Anas crecca",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.92554575204849,3,21,"Bird","S5B, S5N","Yellow","NA","LC"
"13","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.cyanoptera_NAs_pu_mask.tif","Anas.cyanoptera_NAs_pu_mask.tif","Anas cyanoptera",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)","updated name: Spatula cyanoptera",0.89256304502487,1,2,"Bird","S4B","Yellow","NA","LC"
"14","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.discors_NAs_pu_mask.tif","Anas.discors_NAs_pu_mask.tif","Anas discors",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)","updated name: Spatula discors",0.92351561784744,0,1,"Bird","S4S5B","Yellow","NA","LC"
"15","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.penelope_NAs_pu_mask.tif","Anas.penelope_NAs_pu_mask.tif","Anas penelope",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)","updated name: Mareca penelope",0.97405612468719,0,1,"Bird","SNRN","Not reviewed","NA","LC"
"16","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.platyrhynchos_NAs_pu_mask.tif","Anas.platyrhynchos_NAs_pu_mask.tif","Anas platyrhynchos",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.97119218111038,38,934,"Bird","S5B, S5N","Yellow","NA","LC"
