"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00019 0.0000 0.0000
0.00037 0.0016 0.0016
0.00056 0.0026 0.0026
0.00075 0.0054 0.0054
0.00093 0.0077 0.0077
0.00112 0.0086 0.0086
0.00131 0.0086 0.0086
0.00150 0.0096 0.0096
0.00168 0.0108 0.0108
0.00187 0.0112 0.0112
0.00206 0.0115 0.0115
0.00224 0.0118 0.0118
0.00243 0.0121 0.0121
0.00262 0.0124 0.0124
0.00280 0.0128 0.0128
0.00299 0.0124 0.0124
0.00318 0.0134 0.0134
0.00336 0.0131 0.0131
0.00355 0.0140 0.0140
0.00374 0.0137 0.0137
0.00392 0.0147 0.0147
0.00411 0.0144 0.0144
0.00430 0.0150 0.0150
0.00449 0.0153 0.0153
0.00467 0.0150 0.0150
0.00486 0.0156 0.0156
0.00505 0.0159 0.0159
0.00523 0.0166 0.0166
0.00542 0.0169 0.0169
0.00561 0.0175 0.0175
0.00579 0.0172 0.0172
0.00598 0.0179 0.0179
0.00617 0.0175 0.0175
0.00635 0.0182 0.0182
0.00654 0.0185 0.0185
0.00673 0.0182 0.0182
0.00691 0.0195 0.0195
0.00710 0.0191 0.0191
0.00729 0.0195 0.0195
0.00748 0.0191 0.0191
0.00766 0.0201 0.0201
0.00785 0.0198 0.0198
0.00804 0.0204 0.0204
0.00822 0.0204 0.0204
0.00841 0.0211 0.0211
0.00860 0.0220 0.0220
0.00878 0.0214 0.0214
0.00897 0.0226 0.0226
0.00916 0.0220 0.0220
0.00934 0.0220 0.0220
0.00953 0.0226 0.0226
0.00972 0.0226 0.0226
0.00990 0.0230 0.0230
0.01009 0.0226 0.0226
0.01028 0.0236 0.0236
0.01047 0.0236 0.0236
0.01065 0.0230 0.0230
0.01084 0.0242 0.0242
0.01103 0.0236 0.0236
0.01121 0.0242 0.0242
0.01140 0.0246 0.0246
0.01159 0.0242 0.0242
0.01177 0.0252 0.0252
0.01196 0.0258 0.0258
0.01215 0.0265 0.0265
0.01233 0.0262 0.0262
0.01252 0.0271 0.0271
0.01271 0.0268 0.0268
0.01289 0.0277 0.0277
0.01308 0.0281 0.0281
0.01327 0.0277 0.0277
0.01346 0.0281 0.0281
0.01364 0.0297 0.0297
0.01383 0.0293 0.0293
0.01402 0.0313 0.0313
0.01420 0.0316 0.0316
0.01439 0.0322 0.0322
0.01458 0.0329 0.0329
0.01476 0.0322 0.0322
0.01495 0.0335 0.0335
0.01514 0.0338 0.0338
0.01532 0.0338 0.0338
0.01551 0.0354 0.0354
0.01570 0.0367 0.0367
0.01588 0.0364 0.0364
0.01607 0.0370 0.0370
0.01626 0.0370 0.0370
0.01645 0.0376 0.0376
0.01663 0.0376 0.0376
0.01682 0.0383 0.0383
0.01701 0.0392 0.0392
0.01719 0.0386 0.0386
0.01738 0.0399 0.0399
0.01757 0.0395 0.0395
0.01775 0.0399 0.0399
0.01794 0.0399 0.0399
0.01813 0.0395 0.0395
0.01831 0.0408 0.0408
0.01850 0.0408 0.0408
0.01869 0.0408 0.0408
0.01887 0.0408 0.0408
0.01906 0.0408 0.0408
0.01925 0.0415 0.0415
0.01944 0.0415 0.0415
0.01962 0.0411 0.0411
0.01981 0.0415 0.0415
0.02000 0.0424 0.0424
0.02018 0.0424 0.0424
0.02037 0.0424 0.0424
0.02056 0.0424 0.0424
0.02074 0.0431 0.0431
0.02093 0.0431 0.0431
0.02112 0.0427 0.0427
0.02130 0.0431 0.0431
0.02149 0.0453 0.0453
0.02168 0.0443 0.0443
0.02187 0.0447 0.0447
0.02205 0.0453 0.0453
0.02224 0.0456 0.0456
0.02243 0.0456 0.0456
0.02261 0.0462 0.0462
0.02280 0.0462 0.0462
0.02299 0.0459 0.0459
0.02317 0.0469 0.0469
0.02336 0.0469 0.0469
0.02355 0.0466 0.0466
0.02373 0.0469 0.0469
0.02392 0.0472 0.0472
0.02411 0.0466 0.0466
0.02429 0.0475 0.0475
0.02448 0.0472 0.0472
0.02467 0.0478 0.0478
0.02486 0.0472 0.0472
0.02504 0.0478 0.0478
0.02523 0.0478 0.0478
0.02542 0.0482 0.0482
0.02560 0.0478 0.0478
0.02579 0.0485 0.0485
0.02598 0.0478 0.0478
0.02616 0.0482 0.0482
0.02635 0.0488 0.0488
0.02654 0.0491 0.0491
0.02672 0.0488 0.0488
0.02691 0.0488 0.0488
0.02710 0.0494 0.0494
0.02728 0.0485 0.0485
0.02747 0.0494 0.0494
0.02766 0.0488 0.0488
0.02785 0.0494 0.0494
0.02803 0.0488 0.0488
0.02822 0.0494 0.0494
0.02841 0.0494 0.0494
0.02859 0.0494 0.0494
0.02878 0.0488 0.0488
0.02897 0.0494 0.0494
0.02915 0.0488 0.0488
0.02934 0.0501 0.0501
0.02953 0.0494 0.0494
0.02971 0.0494 0.0494
0.02990 0.0494 0.0494
0.03009 0.0501 0.0501
0.03027 0.0494 0.0494
0.03046 0.0491 0.0491
0.03065 0.0501 0.0501
0.03084 0.0501 0.0501
0.03102 0.0494 0.0494
0.03121 0.0504 0.0504
0.03140 0.0501 0.0501
0.03158 0.0498 0.0498
0.03177 0.0507 0.0507
0.03196 0.0494 0.0494
0.03214 0.0504 0.0504
0.03233 0.0498 0.0498
0.03252 0.0507 0.0507
0.03270 0.0498 0.0498
0.03289 0.0507 0.0507
0.03308 0.0504 0.0504
0.03326 0.0504 0.0504
0.03345 0.0507 0.0507
0.03364 0.0504 0.0504
0.03383 0.0504 0.0504
0.03401 0.0507 0.0507
0.03420 0.0513 0.0513
0.03439 0.0507 0.0507
0.03457 0.0510 0.0510
0.03476 0.0510 0.0510
0.03495 0.0510 0.0510
0.03513 0.0510 0.0510
0.03532 0.0513 0.0513
0.03551 0.0517 0.0517
0.03569 0.0517 0.0517
0.03588 0.0514 0.0514
0.03607 0.0517 0.0517
0.03625 0.0520 0.0520
0.03644 0.0517 0.0517
0.03663 0.0520 0.0520
0.03682 0.0517 0.0517
0.03700 0.0523 0.0523
0.03719 0.0520 0.0520
0.03738 0.0520 0.0520
0.03756 0.0523 0.0523
0.03775 0.0520 0.0520
0.03794 0.0520 0.0520
0.03812 0.0526 0.0526
0.03831 0.0523 0.0523
0.03850 0.0526 0.0526
0.03868 0.0533 0.0533
0.03887 0.0526 0.0526
0.03906 0.0526 0.0526
0.03925 0.0526 0.0526
0.03943 0.0529 0.0529
0.03962 0.0529 0.0529
0.03981 0.0526 0.0526
0.03999 0.0529 0.0529
0.04018 0.0526 0.0526
0.04037 0.0526 0.0526
0.04055 0.0526 0.0526
0.04074 0.0533 0.0533
0.04093 0.0533 0.0533
0.04111 0.0526 0.0526
0.04130 0.0533 0.0533
0.04149 0.0529 0.0529
0.04167 0.0539 0.0539
0.04186 0.0533 0.0533
0.04205 0.0529 0.0529
0.04224 0.0539 0.0539
0.04242 0.0536 0.0536
0.04261 0.0539 0.0539
0.04280 0.0536 0.0536
0.04298 0.0533 0.0533
0.04317 0.0536 0.0536
0.04336 0.0539 0.0539
0.04354 0.0536 0.0536
0.04373 0.0536 0.0536
0.04392 0.0545 0.0545
0.04410 0.0536 0.0536
0.04429 0.0542 0.0542
0.04448 0.0542 0.0542
0.04466 0.0539 0.0539
0.04485 0.0542 0.0542
0.04504 0.0542 0.0542
0.04523 0.0542 0.0542
0.04541 0.0542 0.0542
0.04560 0.0549 0.0549
0.04579 0.0542 0.0542
0.04597 0.0549 0.0549
0.04616 0.0552 0.0552
0.04635 0.0549 0.0549
0.04653 0.0549 0.0549
0.04672 0.0558 0.0558
0.04691 0.0549 0.0549
0.04709 0.0552 0.0552
0.04728 0.0555 0.0555
0.04747 0.0558 0.0558
0.04765 0.0552 0.0552
0.04784 0.0555 0.0555
0.04803 0.0558 0.0558
0.04822 0.0552 0.0552
0.04840 0.0561 0.0561
0.04859 0.0558 0.0558
0.04878 0.0558 0.0558
0.04896 0.0558 0.0558
0.04915 0.0558 0.0558
0.04934 0.0558 0.0558
0.04952 0.0555 0.0555
0.04971 0.0565 0.0565
0.04990 0.0565 0.0565
0.05008 0.0558 0.0558
0.05027 0.0565 0.0565
0.05046 0.0561 0.0561
0.05064 0.0565 0.0565
0.05083 0.0565 0.0565
0.05102 0.0565 0.0565
0.05121 0.0565 0.0565
0.05139 0.0565 0.0565
0.05158 0.0561 0.0561
0.05177 0.0571 0.0571
0.05195 0.0565 0.0565
0.05214 0.0565 0.0565
0.05233 0.0568 0.0568
0.05251 0.0571 0.0571
0.05270 0.0574 0.0574
0.05289 0.0574 0.0574
0.05307 0.0571 0.0571
0.05326 0.0568 0.0568
0.05345 0.0574 0.0574
0.05363 0.0577 0.0577
0.05382 0.0574 0.0574
0.05401 0.0574 0.0574
0.05420 0.0574 0.0574
0.05438 0.0574 0.0574
0.05457 0.0577 0.0577
0.05476 0.0574 0.0574
0.05494 0.0580 0.0580
0.05513 0.0580 0.0580
0.05532 0.0580 0.0580
0.05550 0.0577 0.0577
0.05569 0.0580 0.0580
0.05588 0.0587 0.0587
0.05606 0.0584 0.0584
0.05625 0.0587 0.0587
0.05644 0.0587 0.0587
0.05662 0.0584 0.0584
0.05681 0.0587 0.0587
0.05700 0.0590 0.0590
0.05719 0.0596 0.0596
0.05737 0.0590 0.0590
0.05756 0.0593 0.0593
0.05775 0.0590 0.0590
0.05793 0.0590 0.0590
0.05812 0.0590 0.0590
0.05831 0.0593 0.0593
0.05849 0.0596 0.0596
0.05868 0.0590 0.0590
0.05887 0.0590 0.0590
0.05905 0.0596 0.0596
0.05924 0.0596 0.0596
0.05943 0.0590 0.0590
0.05962 0.0596 0.0596
0.05980 0.0596 0.0596
0.05999 0.0596 0.0596
0.06018 0.0603 0.0603
0.06036 0.0596 0.0596
0.06055 0.0600 0.0600
0.06074 0.0603 0.0603
0.06092 0.0603 0.0603
0.06111 0.0600 0.0600
0.06130 0.0612 0.0612
0.06148 0.0606 0.0606
0.06167 0.0609 0.0609
0.06186 0.0612 0.0612
0.06204 0.0606 0.0606
0.06223 0.0606 0.0606
0.06242 0.0612 0.0612
0.06261 0.0619 0.0619
0.06279 0.0612 0.0612
0.06298 0.0612 0.0612
0.06317 0.0612 0.0612
0.06335 0.0619 0.0619
0.06354 0.0616 0.0616
0.06373 0.0619 0.0619
0.06391 0.0625 0.0625
0.06410 0.0638 0.0638
0.06429 0.0635 0.0635
0.06447 0.0638 0.0638
0.06466 0.0651 0.0651
0.06485 0.0660 0.0660
0.06503 0.0737 0.0737
0.06522 0.0737 0.0737
0.06541 0.0730 0.0730
0.06560 0.0730 0.0730
0.06578 0.0734 0.0734
0.06597 0.0737 0.0737
0.06616 0.0730 0.0730
0.06634 0.0737 0.0737
0.06653 0.0737 0.0737
0.06672 0.0730 0.0730
0.06690 0.0734 0.0734
0.06709 0.0737 0.0737
0.06728 0.0730 0.0730
0.06746 0.0737 0.0737
0.06765 0.0737 0.0737
0.06784 0.0730 0.0730
0.06802 0.0734 0.0734
0.06821 0.0737 0.0737
0.06840 0.0730 0.0730
0.06859 0.0737 0.0737
0.06877 0.0737 0.0737
0.06896 0.0730 0.0730
0.06915 0.0737 0.0737
0.06933 0.0734 0.0734
0.06952 0.0730 0.0730
0.06971 0.0737 0.0737
0.06989 0.0737 0.0737
0.07008 0.0730 0.0730
0.07027 0.0730 0.0730
0.07045 0.0737 0.0737
0.07064 0.0734 0.0734
0.07083 0.0730 0.0730
0.07101 0.0737 0.0737
0.07120 0.0737 0.0737
0.07139 0.0730 0.0730
0.07158 0.0737 0.0737
0.07176 0.0734 0.0734
0.07195 0.0730 0.0730
0.07214 0.0737 0.0737
0.07232 0.0737 0.0737
0.07251 0.0807 0.0807
0.07270 0.0816 0.0816
0.07288 0.0836 0.0836
0.07307 0.0855 0.0855
0.07326 0.0861 0.0861
0.07344 0.0864 0.0864
0.07363 0.0874 0.0874
0.07382 0.0877 0.0877
0.07400 0.0880 0.0880
0.07419 0.0887 0.0887
0.07438 0.0887 0.0887
0.07457 0.0887 0.0887
0.07475 0.0890 0.0890
0.07494 0.0899 0.0899
0.07513 0.0899 0.0899
0.07531 0.0915 0.0915
0.07550 0.0922 0.0922
0.07569 0.0925 0.0925
0.07587 0.0931 0.0931
0.07606 0.0928 0.0928
0.07625 0.0934 0.0934
0.07643 0.0934 0.0934
0.07662 0.0941 0.0941
0.07681 0.0938 0.0938
0.07699 0.0947 0.0947
0.07718 0.0944 0.0944
0.07737 0.0947 0.0947
0.07756 0.0950 0.0950
0.07774 0.0950 0.0950
0.07793 0.0950 0.0950
0.07812 0.0950 0.0950
0.07830 0.0957 0.0957
0.07849 0.0957 0.0957
0.07868 0.0957 0.0957
0.07886 0.0954 0.0954
0.07905 0.0957 0.0957
0.07924 0.0957 0.0957
0.07942 0.0960 0.0960
0.07961 0.0963 0.0963
0.07980 0.0960 0.0960
0.07999 0.0966 0.0966
0.08017 0.0963 0.0963
0.08036 0.0973 0.0973
0.08055 0.0973 0.0973
0.08073 0.0966 0.0966
0.08092 0.0976 0.0976
0.08111 0.0979 0.0979
0.08129 0.0982 0.0982
0.08148 0.0982 0.0982
0.08167 0.0979 0.0979
0.08185 0.0982 0.0982
0.08204 0.0982 0.0982
0.08223 0.0982 0.0982
0.08241 0.0989 0.0989
0.08260 0.0989 0.0989
0.08279 0.0989 0.0989
0.08298 0.0995 0.0995
0.08316 0.0989 0.0989
0.08335 0.0992 0.0992
0.08354 0.0995 0.0995
0.08372 0.0992 0.0992
0.08391 0.0995 0.0995
0.08410 0.0992 0.0992
0.08428 0.0995 0.0995
0.08447 0.1005 0.1005
0.08466 0.0998 0.0998
0.08484 0.1001 0.1001
0.08503 0.1001 0.1001
0.08522 0.1005 0.1005
0.08540 0.1005 0.1005
0.08559 0.1005 0.1005
0.08578 0.1005 0.1005
0.08597 0.1011 0.1011
0.08615 0.1011 0.1011
0.08634 0.1008 0.1008
0.08653 0.1011 0.1011
0.08671 0.1021 0.1021
0.08690 0.1014 0.1014
0.08709 0.1014 0.1014
0.08727 0.1017 0.1017
0.08746 0.1014 0.1014
0.08765 0.1021 0.1021
0.08783 0.1027 0.1027
0.08802 0.1021 0.1021
0.08821 0.1021 0.1021
0.08839 0.1021 0.1021
0.08858 0.1024 0.1024
0.08877 0.1021 0.1021
0.08896 0.1033 0.1033
0.08914 0.1024 0.1024
0.08933 0.1027 0.1027
0.08952 0.1033 0.1033
0.08970 0.1024 0.1024
0.08989 0.1033 0.1033
0.09008 0.1037 0.1037
0.09026 0.1030 0.1030
0.09045 0.1043 0.1043
0.09064 0.1040 0.1040
0.09082 0.1040 0.1040
0.09101 0.1040 0.1040
0.09120 0.1037 0.1037
0.09138 0.1043 0.1043
0.09157 0.1043 0.1043
0.09176 0.1043 0.1043
0.09195 0.1040 0.1040
0.09213 0.1043 0.1043
0.09232 0.1046 0.1046
0.09251 0.1043 0.1043
0.09269 0.1043 0.1043
0.09288 0.1046 0.1046
0.09307 0.1043 0.1043
