"number" "dsum" "count" "missing" "quant_error" "fname"
0 4571.7 5408 4960 0.000416627 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Accipiter.cooperii_NAs_pu_mask.tif"
1 4925.37 5408 4960 1.67048e-05 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Accipiter.striatus_NAs_pu_mask.tif"
2 4192.19 5408 4960 0.00176454 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Actitis.macularius_NAs_pu_mask.tif"
3 3091.18 5408 4960 0.00151315 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aechmophorus.occidentalis_NAs_pu_mask.tif"
4 3738.06 5408 4960 0.000200728 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Agelaius.phoeniceus_NAs_pu_mask.tif"
5 3737.65 5408 4960 0.00314818 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aix.sponsa_NAs_pu_mask.tif"
6 4961.37 5408 4960 0.00454197 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Ambystoma.gracile_NAs_pu_mask.tif"
7 4642.56 5408 4960 0.00373411 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Ambystoma.macrodactylum_NAs_pu_mask.tif"
8 3543.51 5408 4960 0.000909935 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.acuta_NAs_pu_mask.tif"
9 3929.25 5408 4960 0.00267528 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.americana_NAs_pu_mask.tif"
10 3378.82 5408 4960 0.00190966 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.clypeata_NAs_pu_mask.tif"
11 3578.12 5408 4960 2.01934e-05 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.crecca_NAs_pu_mask.tif"
12 2881.07 5408 4960 0.00116968 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.cyanoptera_NAs_pu_mask.tif"
13 3070.02 5408 4960 0.00147448 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.discors_NAs_pu_mask.tif"
