"","path","filename","name","weight","category","source","notes","sdm_max_value","n_obs_inat","n_obs_ebird","taxon_group","prov_status","bc_status","fed_status","IUCN_status"
"1","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Accipiter.cooperii_NAs_pu_mask.tif","Accipiter.cooperii_NAs_pu_mask.tif","Accipiter cooperii",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.973467442833009,0,42,"Bird","S5","Yellow","NAR","LC"
"2","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Accipiter.striatus_NAs_pu_mask.tif","Accipiter.striatus_NAs_pu_mask.tif","Accipiter striatus",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.963567109551501,0,62,"Bird","S5B, S5N","Yellow","NAR","LC"
"3","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Actitis.macularius_NAs_pu_mask.tif","Actitis.macularius_NAs_pu_mask.tif","Actitis macularius",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.951927194829847,0,36,"Bird","S5B","Yellow","NA","LC"
"4","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Aechmophorus.occidentalis_NAs_pu_mask.tif","Aechmophorus.occidentalis_NAs_pu_mask.tif","Aechmophorus occidentalis",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.944745616834672,0,124,"Bird","S1S2B, S2N","Red","SC","LC"
"5","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Agelaius.phoeniceus_NAs_pu_mask.tif","Agelaius.phoeniceus_NAs_pu_mask.tif","Agelaius phoeniceus",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.903545299514395,0,481,"Bird","S5B, S5N","Yellow","NA","LC"
"6","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Aix.sponsa_NAs_pu_mask.tif","Aix.sponsa_NAs_pu_mask.tif","Aix sponsa",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.920177490595726,0,261,"Bird","S4B, S4N","Yellow","NA","LC"
"7","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Anas.acuta_NAs_pu_mask.tif","Anas.acuta_NAs_pu_mask.tif","Anas acuta",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.930006351627287,0,16,"Bird","S4B, S5N","Yellow","NA","LC"
"8","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Anas.americana_NAs_pu_mask.tif","Anas.americana_NAs_pu_mask.tif","Anas americana",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)","updated name: Mareca americana",0.951095254083313,0,40,"Bird","S5B, S5N","Yellow","NA","LC"
"9","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Anas.clypeata_NAs_pu_mask.tif","Anas.clypeata_NAs_pu_mask.tif","Anas clypeata",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)","updated name: Spatula clypeata",0.898412986856992,0,10,"Bird","S5B, S5N","Yellow","NA","LC"
"10","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Anas.crecca_NAs_pu_mask.tif","Anas.crecca_NAs_pu_mask.tif","Anas crecca",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)",NA,0.925848620657057,0,21,"Bird","S5B, S5N","Yellow","NA","LC"
"11","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/bowen_sdm/Anas.cyanoptera_NAs_pu_mask.tif","Anas.cyanoptera_NAs_pu_mask.tif","Anas cyanoptera",1,"Bird","Viorel Popescu (2020), modified by Jay Matsushiba (2025)","updated name: Spatula cyanoptera",0.892563063590253,0,2,"Bird","S4B","Yellow","NA","LC"
