[2025-06-30 18:30:26.646] [info] This file will contain all warnings and errors of the analysis
[2025-06-30 18:30:26.752] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Accipiter.cooperii_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.752] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Accipiter.striatus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.753] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Actitis.macularius_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.753] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aechmophorus.occidentalis_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.753] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Agelaius.phoeniceus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.754] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aix.sponsa_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.755] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Ambystoma.gracile_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.755] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Ambystoma.macrodactylum_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.755] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.acuta_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.756] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.americana_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.756] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.clypeata_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.757] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.crecca_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.757] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.cyanoptera_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.757] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.discors_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.758] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.penelope_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.758] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.platyrhynchos_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.758] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.strepera_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
