"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00019 0.5229 0.5426
0.00038 0.5087 0.5435
0.00056 0.5058 0.5315
0.00075 0.5378 0.5594
0.00094 0.5080 0.5334
0.00113 0.5153 0.5381
0.00132 0.5061 0.5324
0.00151 0.5245 0.5404
0.00169 0.5448 0.5616
0.00188 0.5042 0.5302
0.00207 0.5220 0.5457
0.00226 0.5299 0.5461
0.00245 0.5210 0.5448
0.00263 0.5299 0.5527
0.00282 0.5242 0.5413
0.00301 0.5004 0.5347
0.00320 0.5093 0.5461
0.00339 0.5093 0.5470
0.00358 0.5299 0.5663
0.00376 0.5328 0.5505
0.00395 0.5074 0.5334
0.00414 0.5182 0.5562
0.00433 0.5163 0.5549
0.00452 0.5100 0.5483
0.00470 0.5150 0.5505
0.00489 0.5242 0.5581
0.00508 0.5229 0.5619
0.00527 0.5340 0.5695
0.00546 0.5112 0.5483
0.00565 0.5217 0.5571
0.00583 0.5381 0.5575
0.00602 0.5077 0.5435
0.00621 0.5353 0.5730
0.00640 0.5150 0.5438
0.00659 0.5255 0.5628
0.00677 0.5229 0.5619
0.00696 0.5375 0.5752
0.00715 0.5337 0.5698
0.00734 0.5046 0.5413
0.00753 0.5514 0.5695
0.00772 0.5207 0.5575
0.00790 0.5616 0.5977
0.00809 0.5768 0.6015
0.00828 0.5128 0.5505
0.00847 0.5457 0.5844
0.00866 0.5825 0.6012
0.00884 0.5499 0.5857
0.00903 0.5492 0.5888
0.00922 0.5400 0.5888
0.00941 0.5093 0.5470
0.00960 0.5445 0.5844
0.00979 0.5248 0.5619
0.00997 0.5293 0.5663
0.01016 0.5138 0.5514
0.01035 0.5508 0.5879
0.01054 0.5179 0.5549
0.01073 0.5264 0.5641
0.01091 0.5483 0.5866
0.01110 0.5280 0.5651
0.01129 0.5733 0.5923
0.01148 0.5419 0.5796
0.01167 0.5353 0.5720
0.01186 0.5252 0.5641
0.01204 0.5955 0.6306
0.01223 0.6009 0.6319
0.01242 0.5736 0.6138
0.01261 0.5375 0.5752
0.01280 0.5400 0.5774
0.01298 0.5435 0.5812
0.01317 0.5967 0.6284
0.01336 0.5942 0.6306
0.01355 0.5952 0.6328
0.01374 0.5632 0.6037
0.01393 0.5400 0.5777
0.01411 0.5419 0.5809
0.01430 0.5714 0.6113
0.01449 0.5904 0.5685
0.01468 0.5467 0.5857
0.01487 0.5895 0.5584
0.01505 0.5286 0.5663
0.01524 0.5632 0.6024
0.01543 0.5841 0.6249
0.01562 0.5765 0.6069
0.01581 0.5575 0.5980
0.01600 0.5866 0.6249
0.01618 0.5546 0.5945
0.01637 0.5977 0.6376
0.01656 0.6028 0.6443
0.01675 0.5837 0.6205
0.01694 0.5622 0.6024
0.01712 0.5600 0.5993
0.01731 0.6097 0.5955
0.01750 0.5974 0.5765
0.01769 0.7066 0.7326
0.01788 0.5993 0.6316
0.01807 0.6199 0.6591
0.01825 0.5936 0.6351
0.01844 0.5410 0.5822
0.01863 0.5527 0.5923
0.01882 0.6151 0.6556
0.01901 0.5727 0.6148
0.01919 0.5961 0.6341
0.01938 0.6319 0.6645
0.01957 0.5334 0.5742
0.01976 0.6227 0.6614
0.01995 0.6037 0.6452
0.02014 0.5315 0.5733
0.02032 0.5378 0.5787
0.02051 0.5746 0.6148
0.02070 0.6072 0.6420
0.02089 0.6256 0.6667
0.02108 0.5416 0.5822
0.02126 0.6135 0.6037
0.02145 0.6126 0.6047
0.02164 0.5803 0.6205
0.02183 0.5546 0.5958
0.02202 0.7076 0.7358
0.02221 0.7038 0.7380
0.02239 0.6154 0.6544
0.02258 0.7301 0.7630
0.02277 0.5818 0.6218
0.02296 0.5391 0.5809
0.02315 0.5888 0.6284
0.02333 0.5416 0.5831
0.02352 0.5457 0.5879
0.02371 0.6309 0.6227
0.02390 0.6085 0.6477
0.02409 0.7459 0.7744
0.02428 0.5815 0.6227
0.02446 0.6069 0.5594
0.02465 0.5736 0.6148
0.02484 0.6227 0.6626
0.02503 0.5923 0.6328
0.02522 0.6047 0.6442
0.02540 0.6411 0.6804
0.02559 0.6430 0.6838
0.02578 0.6712 0.7076
0.02597 0.6582 0.6332
0.02616 0.6107 0.6509
0.02635 0.6382 0.6816
0.02653 0.6664 0.6363
0.02672 0.6183 0.6613
0.02691 0.6778 0.6408
0.02710 0.6050 0.5594
0.02729 0.7370 0.7709
0.02747 0.6458 0.6861
0.02766 0.6249 0.6645
0.02785 0.6249 0.6658
0.02804 0.6484 0.6873
0.02823 0.7580 0.7855
0.02842 0.7453 0.7776
0.02860 0.6205 0.6648
0.02879 0.6781 0.6949
0.02898 0.6781 0.7111
0.02917 0.6661 0.6408
0.02936 0.6740 0.6443
0.02954 0.7250 0.7608
0.02973 0.6043 0.5594
0.02992 0.6322 0.6680
0.03011 0.7567 0.7868
0.03030 0.6512 0.6930
0.03049 0.6617 0.7028
0.03067 0.6075 0.5619
0.03086 0.6072 0.6487
0.03105 0.6085 0.5628
0.03124 0.6170 0.6591
0.03143 0.6800 0.6509
0.03161 0.6750 0.6715
0.03180 0.5730 0.6161
0.03199 0.6088 0.5628
0.03218 0.6354 0.6769
0.03237 0.7371 0.7710
0.03256 0.7481 0.7823
0.03274 0.6328 0.6769
0.03293 0.5828 0.6262
0.03312 0.6417 0.6839
0.03331 0.6566 0.6997
0.03350 0.6395 0.6826
0.03368 0.6446 0.6861
0.03387 0.5977 0.6398
0.03406 0.7025 0.7405
0.03425 0.6667 0.6509
0.03444 0.7671 0.7956
0.03463 0.7079 0.6895
0.03481 0.6845 0.7177
0.03500 0.6518 0.6873
0.03519 0.6107 0.5932
0.03538 0.6499 0.6861
0.03557 0.6598 0.6997
0.03575 0.6423 0.6873
0.03594 0.7282 0.7652
0.03613 0.7535 0.7890
0.03632 0.5961 0.5629
0.03651 0.6902 0.7234
0.03670 0.6164 0.5990
0.03688 0.6363 0.6772
0.03707 0.7583 0.7459
0.03726 0.7393 0.7763
0.03745 0.7234 0.7608
0.03764 0.6176 0.5932
0.03782 0.7377 0.7709
0.03801 0.6541 0.6987
0.03820 0.6325 0.5967
0.03839 0.5936 0.5628
0.03858 0.7529 0.7868
0.03877 0.6148 0.5695
0.03895 0.6268 0.6702
0.03914 0.6449 0.6094
0.03933 0.6259 0.6170
0.03952 0.6313 0.6724
0.03971 0.7611 0.7947
0.03989 0.6591 0.7032
0.04008 0.6756 0.7165
0.04027 0.6246 0.5958
0.04046 0.7523 0.7890
0.04065 0.6949 0.6918
0.04084 0.7532 0.7899
0.04102 0.6566 0.6984
0.04121 0.6224 0.6126
0.04140 0.6636 0.7089
0.04159 0.6294 0.6227
0.04178 0.6797 0.7234
0.04196 0.7228 0.7539
0.04215 0.6623 0.7076
0.04234 0.6772 0.7168
0.04253 0.7738 0.8070
0.04272 0.7830 0.8124
0.04291 0.6636 0.6623
0.04309 0.6382 0.6851
0.04328 0.6186 0.6091
0.04347 0.6800 0.7212
0.04366 0.6097 0.6522
0.04385 0.6737 0.7098
0.04403 0.7551 0.7890
0.04422 0.6509 0.6161
0.04441 0.6018 0.5708
0.04460 0.6709 0.7155
0.04479 0.6240 0.6104
0.04498 0.6344 0.6126
0.04516 0.7462 0.7824
0.04535 0.6487 0.6927
0.04554 0.6756 0.7199
0.04573 0.6851 0.7291
0.04592 0.7295 0.7675
0.04610 0.6937 0.7345
0.04629 0.6281 0.6728
0.04648 0.6924 0.7336
0.04667 0.7364 0.7732
0.04686 0.6465 0.6385
0.04705 0.7282 0.7675
0.04723 0.7225 0.7199
0.04742 0.7880 0.8207
0.04761 0.6379 0.6341
0.04780 0.7792 0.8137
0.04799 0.7814 0.8150
0.04817 0.6541 0.6975
0.04836 0.6788 0.7244
0.04855 0.7830 0.8150
0.04874 0.6851 0.6851
0.04893 0.6626 0.7006
0.04912 0.6943 0.7269
0.04930 0.7244 0.7640
0.04949 0.6908 0.7336
0.04968 0.6959 0.7370
0.04987 0.6465 0.6927
0.05006 0.6819 0.7256
0.05024 0.6899 0.7269
0.05043 0.6861 0.7266
0.05062 0.6506 0.6987
0.05081 0.7523 0.7890
0.05100 0.6876 0.7323
0.05119 0.7427 0.7811
0.05137 0.7421 0.7336
0.05156 0.7276 0.7675
0.05175 0.6116 0.6566
0.05194 0.7035 0.7450
0.05213 0.7462 0.7865
0.05231 0.6357 0.6807
0.05250 0.6556 0.6430
0.05269 0.7972 0.8308
0.05288 0.7155 0.7573
0.05307 0.7339 0.7618
0.05326 0.7586 0.7969
